stock,week,metric,value
104919.0,week_1,R2,-6.909068773749517
104919.0,week_1,MSE,7.982607276640373e-08
104919.0,week_1,RMSE,0.00028253508236394953
104919.0,week_1,MedAE,0.00024789545171467785
104919.0,week_1,MAPE,96.0004422663544
104919.0,week_1,sMAPE,184.7362609488109
104919.0,week_1,QLIKE,25.972949511625554
104919.0,week_10,R2,-4.61924202020377
104919.0,week_10,MSE,2.213879973069466e-07
104919.0,week_10,RMSE,0.00047051885967190155
104919.0,week_10,MedAE,0.00038415679002510645
104919.0,week_10,MAPE,96.72309701400432
104919.0,week_10,sMAPE,187.35635527349478
104919.0,week_10,QLIKE,30.487473538826634
104919.0,week_11,R2,-12.445295685017099
104919.0,week_11,MSE,1.4770500730232333e-07
104919.0,week_11,RMSE,0.00038432409149352496
104919.0,week_11,MedAE,0.00035244599045649097
104919.0,week_11,MAPE,95.91896042958412
104919.0,week_11,sMAPE,184.3505755570791
104919.0,week_11,QLIKE,21.906731723947775
104919.0,week_12,R2,-4.9029290104125165
104919.0,week_12,MSE,6.137047485756475e-08
104919.0,week_12,RMSE,0.0002477306498146016
104919.0,week_12,MedAE,0.0002138992793673036
104919.0,week_12,MAPE,91.37568401410037
104919.0,week_12,sMAPE,168.64344648487474
104919.0,week_12,QLIKE,10.600877586312476
104919.0,week_13,R2,-4.947607886601674
104919.0,week_13,MSE,3.9094839310126475e-08
104919.0,week_13,RMSE,0.00019772414953699125
104919.0,week_13,MedAE,0.00015774868113780925
104919.0,week_13,MAPE,94.35844432628613
104919.0,week_13,sMAPE,178.7987945562606
104919.0,week_13,QLIKE,16.966399617724633
104919.0,week_14,R2,-10.745796839401294
104919.0,week_14,MSE,4.247561041464913e-08
104919.0,week_14,RMSE,0.00020609611935853894
104919.0,week_14,MedAE,0.00018859174586155128
104919.0,week_14,MAPE,93.8624490059367
104919.0,week_14,sMAPE,177.0172024799346
104919.0,week_14,QLIKE,14.524743017012709
104919.0,week_15,R2,-3.1492952804775554
104919.0,week_15,MSE,1.3321769566263578e-07
104919.0,week_15,RMSE,0.0003649899939212523
104919.0,week_15,MedAE,0.000272338494824874
104919.0,week_15,MAPE,97.37843052089535
104919.0,week_15,sMAPE,189.8673052901713
104919.0,week_15,QLIKE,49.21411042947859
104919.0,week_16,R2,-4.333999104410428
104919.0,week_16,MSE,8.377797303899694e-08
104919.0,week_16,RMSE,0.0002894442485851065
104919.0,week_16,MedAE,0.0002255048674433514
104919.0,week_16,MAPE,96.61911889500723
104919.0,week_16,sMAPE,186.98267238964405
104919.0,week_16,QLIKE,30.671127150345537
104919.0,week_17,R2,-6.341526994801709
104919.0,week_17,MSE,1.2019505023409716e-07
104919.0,week_17,RMSE,0.00034669157796822405
104919.0,week_17,MedAE,0.0002896217207534027
104919.0,week_17,MAPE,95.77571711536434
104919.0,week_17,sMAPE,183.86910335176987
104919.0,week_17,QLIKE,22.792535997085412
104919.0,week_18,R2,-12.400366921868427
104919.0,week_18,MSE,1.755140215520927e-07
104919.0,week_18,RMSE,0.0004189439360488378
104919.0,week_18,MedAE,0.0003859010021635774
104919.0,week_18,MAPE,96.03183537158739
104919.0,week_18,sMAPE,184.77319620699546
104919.0,week_18,QLIKE,22.76675417726519
104919.0,week_19,R2,-5.57283898252884
104919.0,week_19,MSE,5.1611793221020465e-08
104919.0,week_19,RMSE,0.0002271822907293182
104919.0,week_19,MedAE,0.00019432312695632194
104919.0,week_19,MAPE,95.41863255412825
104919.0,week_19,sMAPE,182.56752637811132
104919.0,week_19,QLIKE,20.601353617360413
104919.0,week_2,R2,-3.796745872437528
104919.0,week_2,MSE,4.697402622233072e-08
104919.0,week_2,RMSE,0.00021673492155702717
104919.0,week_2,MedAE,0.0001661304209407044
104919.0,week_2,MAPE,93.8574870974965
104919.0,week_2,sMAPE,177.05923437251917
104919.0,week_2,QLIKE,15.580243151127267
104919.0,week_20,R2,-4.842104551011472
104919.0,week_20,MSE,3.652804161986587e-08
104919.0,week_20,RMSE,0.00019112310592878578
104919.0,week_20,MedAE,0.00015494107711676324
104919.0,week_20,MAPE,95.55428582859886
104919.0,week_20,sMAPE,183.04948309141542
104919.0,week_20,QLIKE,21.415562769101825
104919.0,week_21,R2,-5.003233922817282
