stock,week,metric,value
8382.0,week_1,R2,-4.949554182400531
8382.0,week_1,MSE,1.2573007523349056e-06
8382.0,week_1,RMSE,0.001121294230938
8382.0,week_1,MedAE,0.0009385325906877
8382.0,week_1,MAPE,95.88905876187714
8382.0,week_1,sMAPE,184.32180069877265
8382.0,week_1,QLIKE,24.87206574367288
8382.0,week_2,R2,-3.70493766588263
8382.0,week_2,MSE,3.308309395563387e-07
8382.0,week_2,RMSE,0.0005751790499977
8382.0,week_2,MedAE,0.0004431064028542
8382.0,week_2,MAPE,94.93273835044262
8382.0,week_2,sMAPE,180.935891492598
8382.0,week_2,QLIKE,20.800127097714384
8382.0,week_3,R2,-3.2172164703604524
8382.0,week_3,MSE,3.9527085835352e-07
8382.0,week_3,RMSE,0.0006287057009074
8382.0,week_3,MedAE,0.0004609037450957
8382.0,week_3,MAPE,93.07672889405096
8382.0,week_3,sMAPE,174.42066682903967
8382.0,week_3,QLIKE,14.221359411021275
8382.0,week_4,R2,-3.4005432433789275
8382.0,week_4,MSE,4.1969483969520594e-07
8382.0,week_4,RMSE,0.0006478385907733
8382.0,week_4,MedAE,0.000488234488597
8382.0,week_4,MAPE,95.42307473617431
8382.0,week_4,sMAPE,182.7092649127773
8382.0,week_4,QLIKE,24.203308874985925
8382.0,week_5,R2,-4.343692494369954
8382.0,week_5,MSE,2.310809975860215e-07
8382.0,week_5,RMSE,0.0004807088490822
8382.0,week_5,MedAE,0.0003805793716684
8382.0,week_5,MAPE,94.97746652739195
8382.0,week_5,sMAPE,181.02202868515056
8382.0,week_5,QLIKE,19.644314651626026
8382.0,week_6,R2,-4.5600088291753975
8382.0,week_6,MSE,6.021130300843946e-07
8382.0,week_6,RMSE,0.00077595942554
8382.0,week_6,MedAE,0.0006403671445481
8382.0,week_6,MAPE,97.22302648429424
8382.0,week_6,sMAPE,189.2517351565129
8382.0,week_6,QLIKE,38.934866308851454
8382.0,week_7,R2,-2.9905327591413537
8382.0,week_7,MSE,1.1126401891853843e-06
8382.0,week_7,RMSE,0.0010548176094403
8382.0,week_7,MedAE,0.0007604549972252
8382.0,week_7,MAPE,92.29333761625624
8382.0,week_7,sMAPE,171.71911045355873
8382.0,week_7,QLIKE,12.317365732045984
8382.0,week_8,R2,-6.071779860724995
8382.0,week_8,MSE,1.7349870301440588e-06
8382.0,week_8,RMSE,0.0013171890639327
8382.0,week_8,MedAE,0.001107650640567
8382.0,week_8,MAPE,97.38032644528406
8382.0,week_8,sMAPE,189.8232896686609
8382.0,week_8,QLIKE,39.0598589291522
8382.0,week_9,R2,-7.010284683860217
8382.0,week_9,MSE,3.182421845472232e-06
8382.0,week_9,RMSE,0.0017839343725238
8382.0,week_9,MedAE,0.0015715422944214
8382.0,week_9,MAPE,96.29517300261531
8382.0,week_9,sMAPE,185.7772401338589
8382.0,week_9,QLIKE,26.353705013864072
8382.0,week_10,R2,-5.370235189927081
8382.0,week_10,MSE,1.5672048704294358e-06
8382.0,week_10,RMSE,0.0012518805336091
8382.0,week_10,MedAE,0.0010490943221792
8382.0,week_10,MAPE,97.38458009823904
8382.0,week_10,sMAPE,189.84321333744504
8382.0,week_10,QLIKE,39.79343999788417
8382.0,week_11,R2,-8.61782186784767
8382.0,week_11,MSE,8.891897561173436e-07
8382.0,week_11,RMSE,0.0009429685870257
8382.0,week_11,MedAE,0.0008300748153251
8382.0,week_11,MAPE,96.31168650265336
8382.0,week_11,sMAPE,185.82139149221487
8382.0,week_11,QLIKE,25.643636550301
8382.0,week_12,R2,-5.693361291185913
8382.0,week_12,MSE,5.127143544687985e-07
8382.0,week_12,RMSE,0.0007160407491678
8382.0,week_12,MedAE,0.0006045178117183
8382.0,week_12,MAPE,93.61716591183298
8382.0,week_12,sMAPE,176.19598461657804
8382.0,week_12,QLIKE,14.242714806351833
8382.0,week_13,R2,-3.837348445772501
8382.0,week_13,MSE,3.220169162132237e-07
8382.0,week_13,RMSE,0.000567465343623
8382.0,week_13,MedAE,0.0004410145661772
8382.0,week_13,MAPE,94.64854327012624
8382.0,week_13,sMAPE,179.882106945897
8382.0,week_13,QLIKE,18.86209170245316
8382.0,week_14,R2,-4.930820115734961
8382.0,week_14,MSE,5.390823468127506e-07
8382.0,week_14,RMSE,0.0007342222734381
8382.0,week_14,MedAE,0.0006020221989743
8382.0,week_14,MAPE,95.12674818872262
8382.0,week_14,sMAPE,181.56733405161165
8382.0,week_14,QLIKE,20.422862866656256
8382.0,week_15,R2,-5.336809509838658
8382.0,week_15,MSE,7.66958231985238e-07
8382.0,week_15,RMSE,0.0008757615154739
8382.0,week_15,MedAE,0.0007374939828219
8382.0,week_15,MAPE,96.89800816322868
8382.0,week_15,sMAPE,188.020720679593
8382.0,week_15,QLIKE,33.13309793256662
8382.0,week_16,R2,-5.042660274913552
8382.0,week_16,MSE,5.289484837882897e-07
8382.0,week_16,RMSE,0.0007272884460709
8382.0,week_16,MedAE,0.0006010601314796
8382.0,week_16,MAPE,97.39711005841214
8382.0,week_16,sMAPE,189.8943889700148
8382.0,week_16,QLIKE,40.7019912608383
8382.0,week_17,R2,-6.017215275924573
8382.0,week_17,MSE,6.921998784258638e-07
8382.0,week_17,RMSE,0.0008319855037354
8382.0,week_17,MedAE,0.0007218066729122
8382.0,week_17,MAPE,96.4088263759146
8382.0,week_17,sMAPE,186.2070698482517
8382.0,week_17,QLIKE,27.867747661182875
8382.0,week_18,R2,-9.982299631387928
8382.0,week_18,MSE,1.6217241543462283e-06
8382.0,week_18,RMSE,0.0012734693378115
8382.0,week_18,MedAE,0.0011578348739195
8382.0,week_18,MAPE,96.8003548308232
8382.0,week_18,sMAPE,187.6377328660525
8382.0,week_18,QLIKE,29.909972726098164
8382.0,week_19,R2,-4.908260723803255
8382.0,week_19,MSE,3.857400514136294e-07
8382.0,week_19,RMSE,0.0006210797464204
